participant_id,school_id,district_id,study_yr,iqa,lmt,female,race_black,race_asian,race_white,race_hispanic,race_amind,race_pi,born_yr,full_cert,part_cert,none_cert,math_method,math_content,math_advance,grade_level_6,grade_level_7,grade_level_8,math_teach_yrs,c_ishtrack_flg,c_n,c_pctlep,c_pctsped
10905,109,1,4,2.083333,1.0591176,0,0,0,1,0,0,0,1953,1,0,0,5 or More courses,5 or More courses,5 or More courses,0,0,1,20,0,25,25,8.333333
11002,110,1,1,1.666667,-0.99980003,1,0,0,1,0,0,0,1968,1,0,0,3 Courses,3 Courses,3 Courses,0,1,1,3,0,33,36.36364,9.090909
11004,110,1,3,2.583333,0.82318902,1,0,0,1,0,0,0,1985,1,0,0,1 Course,0 Courses,5 or More courses,0,1,1,2,0,25,12.5,20.83333
11004,110,1,4,1.25,0.098838001,1,0,0,1,0,0,0,1985,1,0,0,1 Course,1 Course,5 or More courses,0,1,1,3,0,12,27.27273,9.090909
11006,110,1,4,2.25,-1.440904,1,1,0,0,0,0,0,1961,1,0,0,2 Courses,0 Courses,5 or More courses,1,0,0,5,0,24,30.43478,8.695652
20102,201,2,2,2.75,-0.343945,1,1,0,0,0,0,0,1977,1,0,0,4 Courses,1 Course,0 Courses,0,0,1,7,1,23,0,0
20103,201,2,2,2.25,-0.21191999,1,0,0,0,1,0,0,1979,1,0,0,5 or More courses,5 or More courses,5 or More courses,0,1,0,7,0,7,14.28571,0
20103,201,2,3,2.5,-0.36776099,1,0,0,0,1,0,0,1979,1,0,0,5 or More courses,5 or More courses,4 Courses,0,0,1,8,0,22,13.63636,4.545455
20104,201,2,1,1,-0.54181498,0,1,0,0,0,0,0,1977,0,1,0,2 Courses,2 Courses,0 Courses,0,0,1,1,0,20,15,15
20104,201,2,2,2.25,-0.83791399,0,1,0,0,0,0,0,1977,0,1,0,3 Courses,4 Courses,0 Courses,0,0,1,2,0,15,0,0
20104,201,2,4,2,-0.43994701,0,1,0,0,0,0,0,1977,1,0,0,5 or More courses,5 or More courses,0 Courses,0,1,0,4,0,25,24,4
20106,201,2,1,2.666667,-1.0439554,1,0,0,1,0,0,0,1944,1,0,0,5 or More courses,5 or More courses,5 or More courses,0,1,0,16,0,22,9.5238094,0
20108,201,2,2,2.25,-0.54223001,0,1,0,0,0,0,0,1970,1,0,0,0 Courses,1 Course,0 Courses,0,0,1,1,0,17,5.8823528,0
20108,201,2,3,2.25,-0.64856952,0,1,0,0,0,0,0,1970,1,0,0,0 Courses,1 Course,0 Courses,0,0,1,2,0,25,4,24
20108,201,2,4,1.25,0.56451952,0,1,0,0,0,0,0,1970,1,0,0,0 Courses,0 Courses,0 Courses,0,0,1,3,0,24,0,4.166667
20117,201,2,3,2.25,-1.48648,1,0,0,0,1,0,0,1975,0,1,0,2 Courses,5 or More courses,0 Courses,0,1,0,1,0,26,19.23077,0
20118,201,2,3,1.833333,0.63401401,0,0,0,0,0,1,0,1985,1,0,0,1 Course,0 Courses,5 or More courses,0,0,1,3,0,19,5.2631578,5.2631578
20118,201,2,4,2.583333,1.3851165,0,0,0,0,0,1,0,1985,1,0,0,3 Courses,3 Courses,5 or More courses,0,0,1,4,1,23,0,0
20123,201,2,4,2.083333,-1.332625,1,1,0,0,0,0,0,1983,1,0,0,4 Courses,0 Courses,1 Course,0,1,0,4,0,24,41.666672,20.83333
20204,202,2,1,1.833333,-0.69801199,1,1,0,0,0,0,0,1979,0,1,0,0 Courses,0 Courses,1 Course,1,0,0,1,0,20,0,10.52632
20204,202,2,2,2.416667,-0.93388498,1,1,0,0,0,0,0,1979,1,0,0,1 Course,0 Courses,1 Course,1,0,0,2,0,11,0,0
20204,202,2,4,2.333333,-0.73808998,1,1,0,0,0,0,0,1979,1,0,0,4 Courses,4 Courses,0 Courses,1,1,1,4,0,30,3.333333,46.666672
20206,202,2,1,1.833333,-0.93388498,1,1,0,0,0,0,0,1973,1,0,0,2 Courses,4 Courses,2 Courses,0,1,0,2,0,29,6.8965521,6.8965521
20206,202,2,2,1.916667,-0.53957498,1,1,0,0,0,0,0,1973,1,0,0,4 Courses,4 Courses,3 Courses,0,1,0,3,0,8,0,0
20206,202,2,3,2,-1.055714,1,1,0,0,0,0,0,1973,1,0,0,4 Courses,4 Courses,3 Courses,0,1,0,4,0,25,0,0
20206,202,2,4,2.083333,-0.60690498,1,1,0,0,0,0,0,1973,1,0,0,4 Courses,4 Courses,3 Courses,0,1,0,5,1,24,0,0
20208,202,2,3,1.833333,-0.343945,1,0,0,0,1,0,0,1972,1,0,0,3 Courses,3 Courses,2 Courses,0,1,0,8,0,26,0,30.76923
20208,202,2,4,2,-0.37964401,1,0,0,0,1,0,0,1972,1,0,0,4 Courses,4 Courses,3 Courses,1,0,0,9,0,31,9.6774197,6.4516129
20209,202,2,2,2.666667,0.060082499,0,0,0,1,0,0,0,1983,1,0,0,0 Courses,0 Courses,0 Courses,0,0,1,2,0,21,0,0
20209,202,2,3,2.25,-0.029750001,0,0,0,1,0,0,0,1983,1,0,0,0 Courses,0 Courses,0 Courses,0,1,1,3,0,25,0,4
20209,204,2,4,3.166667,0.13162,0,0,0,1,0,0,0,1983,1,0,0,1 Course,1 Course,0 Courses,1,0,1,4,0,22,13.63636,0
20212,202,2,2,2.166667,-0.67264998,1,1,0,0,0,0,0,1957,1,0,0,5 or More courses,5 or More courses,5 or More courses,0,0,1,17,0,16,0,0
20212,202,2,3,3.083333,-1.8220345,1,1,0,0,0,0,0,1957,1,0,0,5 or More courses,5 or More courses,2 Courses,0,0,1,17,1,18,0,0
20303,203,2,2,2,0.79606402,1,0,0,1,0,0,0,1961,1,0,0,5 or More courses,5 or More courses,2 Courses,0,0,1,10,0,20,10,0
